logFC	P.Value	tf	DMSO	SP1	p_adjusted	sig
0.172910269986579	0.441151564263334	RANDOM3_1_Random	-0.448970626289262	-0.276060356302684	0.937850053148769	NS
0.10995556270467	0.604997105664035	RANDOM2_1_Random	-1.17252770921125	-1.06257214650658	0.937850053148769	NS
0.501049124322328	0.00452180137864625	TCF7L2	1.8010326855489	2.30208180987123	0.365391483987774	NS
0.399878216732841	0.0268033994693402	IRF3	1.35423331056372	1.75411152729656	0.497478146888994	NS
-0.373896485101994	0.035566051585479	NFKB1	-1.56479216236918	-1.93868864747117	0.497478146888994	NS
-0.328989735590102	0.0846285900855262	GBX2	-2.22915736206888	-2.55814709765898	0.596477156396821	NS
-0.23326262849953	0.126331875135657	ESRRB	-1.83306558642475	-2.06632821492428	0.627962215333062	NS
0.225471385168946	0.184055953776006	RANDOM3_2_hBGm	-2.06191046766198	-1.83643908249304	0.742723434559868	NS
-0.389606051631937	0.220276324939367	RANDOM1_2_hBGm	-2.56062990549249	-2.95023595712443	0.742723434559868	NS
-0.204035800730624	0.348351012671948	CREB1	-1.67433150742349	-1.87836730815411	0.864178473743871	NS
-0.14303916745513	0.323341027621814	NFE2L2	2.41122710317326	2.26818793571813	0.85124474618804	NS
0.324121061790176	0.390608109130919	RANDOM3_1_hBGm	-2.09695643400173	-1.77283537221155	0.923430554000625	NS
-0.211945722941449	0.42302361344076	SMAD4	-1.82097754036203	-2.03292326330347	0.937850053148769	NS
0.174919034834756	0.436721955118331	NEUROG2	-3.27241693989497	-3.09749790506022	0.937850053148769	NS
0.0904712196161744	0.677614063205041	RANDOM1_1_hBGm	-2.92238786469624	-2.83191664508006	0.937850053148769	NS
-0.121323406896848	0.516561992138338	RANDOM2_2_hBGm	-2.50865838515607	-2.62998179205291	0.937850053148769	NS
-0.116214115934667	0.565038210461072	RANDOM3_3_hBGm	-1.96732417380498	-2.08353828973965	0.937850053148769	NS
0.127828233500758	0.568767430662322	RANDOM2_3_hBGm	-2.74493499264677	-2.61710675914601	0.937850053148769	NS
-0.105709083831544	0.64918217437259	RANDOM1_3_hBGm	-3.01027495151853	-3.11598403535008	0.937850053148769	NS
-0.0948047286334262	0.507660150701268	ELK1	2.09969968227917	2.00489495364574	0.937850053148769	NS
0.066481205450654	0.705324137936988	STAT3	1.70018004145075	1.76666124690141	0.937850053148769	NS
0.0753286301787633	0.623787969777488	PAX6	-2.4747960678983	-2.39946743771954	0.937850053148769	NS
-0.0138519010179451	0.944902978226701	RANDOM2_1_hBGm	-2.80706753802586	-2.82091943904381	0.984327124014763	NS
-0.0610331634601709	0.845986878057072	HOMEZ	-3.05753507948422	-3.11856824294439	0.984327124014763	NS
