logFC	P.Value	tf	DMSO	CH	p_adjusted	sig
0.586493182200928	0.119712491738132	RANDOM1_2_hBGm	-3.75997985974207	-3.17348667754114	0.464339361893362	NS
0.238769260413694	0.138448663666026	PAX6	-3.3250181336161	-3.08624887320241	0.49226191525698	NS
0.306951706228557	0.171570901014719	RANDOM3_1_hBGm	-2.97898047495163	-2.67202876872307	0.550477375054268	NS
0.0868170924301749	0.499392912628735	STAT3	1.59349014268151	1.68030723511169	0.908130000950612	NS
0.18997337307279	0.796374450497012	HOMEZ	-1.00290570816272	-0.812932335089934	0.908130000950612	NS
-0.119324947796964	0.686632905709521	RANDOM3_3_hBGm	-2.80272020049519	-2.92204514829215	0.908130000950612	NS
-0.0625615895333675	0.408567409413164	NFE2L2	2.43409742276436	2.37153583323099	0.843494006530403	NS
0.0700987593893894	0.623184282981927	NFKB1	-2.32035962540368	-2.25026086601429	0.908130000950612	NS
0.222747633755858	0.641680938883596	RANDOM3_2_hBGm	-3.17323410146953	-2.95048646771367	0.908130000950612	NS
0.00123617322367373	0.996828400932724	RANDOM2_2_hBGm	-3.62556234305046	-3.62432616982679	0.996828400932724	NS
-0.166557041369782	0.636101133601408	RANDOM1_1_hBGm	-3.7850017226266	-3.95155876399638	0.908130000950612	NS
0.457104444078016	0.729984021443632	NEUROG2	-1.83417607087524	-1.37707162679723	0.908130000950612	NS
0.271462385336527	0.676271903339427	RANDOM2_3_hBGm	-3.08288150646933	-2.81141912113281	0.908130000950612	NS
0.0585080667709722	0.782644544210345	SMAD4	-3.04888794121411	-2.99037987444314	0.908130000950612	NS
-0.066387078543894	0.667194134728881	CREB1	-2.17514331872415	-2.24153039726805	0.908130000950612	NS
-0.0392720815364906	0.779315131307032	ELK1	1.86271736823707	1.82344528670058	0.908130000950612	NS
0.0012234348399276	0.996266305043029	RANDOM1_3_hBGm	-3.68050165462088	-3.67927821978095	0.996828400932724	NS
0.0942854443668378	0.875261926946154	RANDOM2_1_hBGm	-3.18680334440818	-3.09251790004135	0.948826322066587	NS
