tf,condition,reporterFC,replicate,logFC,p_adjusted,sig,ctrl_activity
EGR1,mES_CH,-0.13654292112523,R1,-0.127985139660588,0.908130000950612,NS,-2.60717286349218
EGR1,mES_CH,0.40502334790451,R2,-0.127985139660588,0.908130000950612,NS,-2.60717286349218
EGR1,mES_CH,0.337388597244736,R3,-0.127985139660588,0.908130000950612,NS,-2.60717286349218
EGR1,mES_FOXA1_OE,-0.599599672756479,R3,-0.198043670571164,0.92869572764428,NS,-1.65692058441925
EGR1,mES_LIF,-0.491499063710932,R1,-1.00791280313094,0.131046942847728,NS,-2.67024993001634
EGR1,mES_LIF,-0.370839811015132,R2,-1.00791280313094,0.131046942847728,NS,-2.67024993001634
EGR1,mES_LIF,0.078991631566568,R3,-1.00791280313094,0.131046942847728,NS,-2.67024993001634
EGR1,mES_POU5F1_DEG,-0.833318707600554,R1,-0.86987487567869,0.365989549531941,NS,-2.22739406926007
EGR1,mES_POU5F1_DEG,-1.10407814733499,R2,-0.86987487567869,0.365989549531941,NS,-2.22739406926007
EGR1,mES_SOX2_DEG,-0.917090060012545,R1,-1.13994872582932,0.0112219253628252,NS,-2.03737500224714
EGR1,mES_SOX2_DEG,-0.0266000253823839,R2,-1.13994872582932,0.0112219253628252,NS,-2.03737500224714
ESR1,mES_CH,-0.488455403072571,R1,-0.34295936639021,0.908130000950612,NS,-2.85178588176906
ESR1,mES_CH,0.444340986338263,R2,-0.34295936639021,0.908130000950612,NS,-2.85178588176906
ESR1,mES_CH,-0.619003149128957,R3,-0.34295936639021,0.908130000950612,NS,-2.85178588176906
ESR1,mES_FOXA1_OE,-0.854348693785086,R3,0.971359570332107,0.797866376144013,NS,-4.06601919784198
ESR1,mES_LIF,-0.75699812907067,R1,-0.300107473128551,0.812619426714483,NS,-2.87938354931813
ESR1,mES_LIF,0.415805740805798,R2,-0.300107473128551,0.812619426714483,NS,-2.87938354931813
ESR1,mES_LIF,0.255593623471778,R3,-0.300107473128551,0.812619426714483,NS,-2.87938354931813
ESR1,mES_POU5F1_DEG,0.156445308025346,R1,-0.0061841572158941,0.998183087815994,NS,-5.32473481978541
ESR1,mES_POU5F1_DEG,0.0988141182318101,R2,-0.0061841572158941,0.998183087815994,NS,-5.32473481978541
ESR1,mES_SOX2_DEG,1.15132403520361,R1,0.120665073199239,0.858968577418159,NS,-3.1518931841757998
ESR1,mES_SOX2_DEG,-0.271423380563234,R2,0.120665073199239,0.858968577418159,NS,-3.1518931841757998
ETS2,mES_CH,-0.968259393149827,R1,0.179100676905392,0.908130000950612,NS,0.0230929966787195
ETS2,mES_CH,-0.356422921703852,R2,0.179100676905392,0.908130000950612,NS,0.0230929966787195
ETS2,mES_CH,0.20049752016011,R3,0.179100676905392,0.908130000950612,NS,0.0230929966787195
ETS2,mES_FOXA1_OE,-0.968051731666276,R3,-1.31206095051387,0.789720059729306,NS,-2.29085010619387
ETS2,mES_LIF,0.27250685610118,R1,0.272203541949365,0.824105336145308,NS,0.0294392449724668
ETS2,mES_LIF,-0.634205745579889,R2,0.272203541949365,0.824105336145308,NS,0.0294392449724668
ETS2,mES_LIF,1.47173180362209,R3,0.272203541949365,0.824105336145308,NS,0.0294392449724668
ETS2,mES_POU5F1_DEG,0.14593975555188,R1,0.222677206875625,0.846572753454252,NS,-2.60441295237674
ETS2,mES_POU5F1_DEG,1.76350409085473,R2,0.222677206875625,0.846572753454252,NS,-2.60441295237674
ETS2,mES_SOX2_DEG,1.92005839324971,R1,1.89189737088598,5.9379360494177e-4,Upregulated,-0.400885728933095
ETS2,mES_SOX2_DEG,1.96643652264977,R2,1.89189737088598,5.9379360494177e-4,Upregulated,-0.400885728933095
FOS::JUN,mES_CH,-0.778739607917894,R1,-0.466767276757013,0.182383825142532,NS,0.296817396358209
FOS::JUN,mES_CH,-0.73816271062849,R2,-0.466767276757013,0.182383825142532,NS,0.296817396358209
FOS::JUN,mES_CH,-0.755670798621322,R3,-0.466767276757013,0.182383825142532,NS,0.296817396358209
FOS::JUN,mES_FOXA1_OE,0.126503520547987,R3,0.474413037115839,0.671825225493959,NS,1.54097173528824
FOS::JUN,mES_LIF,-0.22890269712345,R1,-0.398335363866176,0.291143786948877,NS,0.29177713401693
FOS::JUN,mES_LIF,-0.51517572419548,R2,-0.398335363866176,0.291143786948877,NS,0.29177713401693
FOS::JUN,mES_LIF,-0.362839031630604,R3,-0.398335363866176,0.291143786948877,NS,0.29177713401693
FOS::JUN,mES_POU5F1_DEG,0.365411714197663,R1,1.04104901730996,3.5715013893478e-4,Upregulated,0.678269659883984
FOS::JUN,mES_POU5F1_DEG,0.965830464163273,R2,1.04104901730996,3.5715013893478e-4,Upregulated,0.678269659883984
