logFC	P.Value	tf	DMSO	HQ	p_adjusted	sig
-0.905256490798197	0.00140519359202429	RANDOM2_3_hBGm	-2.21306285882165	-3.11831934961985	0.00921813203827093	Downregulated
-0.881254031406761	0.00264988603520908	RANDOM1_3_hBGm	-2.33496894677954	-3.2162229781863	0.0138703753048213	NS
-0.531477843164556	0.00268805722961653	STAT3	-1.14522695609567	-1.67670479926023	0.0138703753048213	NS
-0.917502842963389	0.00307389459663791	RANDOM2_2_hBGm	-2.07715050139512	-2.99465334435851	0.0146863852950478	NS
-0.917091422507177	0.00337573016550552	RANDOM1_2_hBGm	-1.87387697490249	-2.79096839740966	0.0155524711196504	NS
-0.927852395273819	0.00715637157568473	RANDOM1_1_hBGm	-2.09256161303214	-3.02041400830596	0.0279749070685858	NS
-0.644875064405772	0.00837571518158959	RANDOM3_1_hBGm	-1.67606924995832	-2.32094431436409	0.030012979400696	NS
-0.515946568670498	0.0322866276310717	CREB1	-0.793576154667308	-1.30952272333781	0.0801019235680251	NS
0.393036656298945	0.0352908694783587	IRF3	2.33121024883999	2.72424690513894	0.0815521607105502	NS
-0.289128789675832	0.0579710555639613	NFKB1	1.70126906453777	1.41214027486194	0.115050248734631	NS
0.121854075047045	0.407524319033195	ELK1	2.27701331760129	2.39886739264833	0.495949407125303	NS
