tf,condition,primetime_logFC,chromVAR_dif,primetime_sign,chromVAR_sign,primetime_pval_adj,chromVAR_pval_adj
ATF2,mNPC_differentiation,2.60945328839663,0.11214079869125079,Upregulated,Upregulated,7.57576591702512e-17,1.6018699256954702e-5
ATF2,TFCP2L1_knockdown,-0.0291447847583985,0.023658118872701823,NS,NS,0.949428193153183,0.9505540340835739
ATF4,Chiron_removal,0.0332175947217956,-0.015967464025246007,NS,NS,0.908130000950612,0.6018414956975509
ATF4,FOXA1_overexpression,-0.436733079575817,0.05170337886767697,NS,NS,0.82062655765857,0.30041556839961325
ATF4,LIF_removal_24h,0.351381897344822,0.006821304655132719,NS,NS,0.0706582714740318,0.8412130153775106
ATF4,POU5F1_degradation,-0.449969740021172,0.09604311296160573,NS,Upregulated,0.252296003771503,1.017123811173651e-5
ATF4,SOX2_degradation,1.28125915421513,0.09550284926336589,Upregulated,Upregulated,9.6277852818743e-8,6.9979602705274345e-6
ATF4,Serum,0.384687994919952,0.025398924069352596,NS,NS,0.0264525969243475,0.6228426789254291
ATF4,Forskolin,0.418099212631292,0.025256622130455625,NS,NS,0.0433957529662045,0.7910054387703824
ATF4,Heat_shock,-0.209300775278994,0.06364628704307021,NS,Upregulated,0.190069381960383,0.006077527020882852
ATF4,LIF_removal_1h,-0.206327399737551,0.005075843647182148,NS,NS,0.918319072311947,0.9968723756132148
ATF4,LIF_removal_3h,-0.0717320582250654,0.006602192160101196,NS,NS,0.928017973129343,0.9999437632103492
ATF4,LIF_removal_6h,-0.0418863870121654,0.012000802091294487,NS,NS,0.876253386824243,0.9953257592195215
ATF4,mNPC_differentiation,-0.345252547783838,0.1145551047108325,NS,Upregulated,0.0897862492600027,1.767557773938658e-6
ATF4,TFCP2L1_knockdown,-0.00649045948425098,0.02011889022552491,NS,NS,0.994241358064554,0.9505540340835739
ATF6,Chiron_removal,0.0859203222272394,-0.006767058234066767,NS,NS,0.908130000950612,0.7553569100888117
ATF6,FOXA1_overexpression,0.586997578970789,0.049965677554057605,NS,NS,0.789720059729306,0.17331499873256337
ATF6,LIF_removal_24h,-0.0366274100686756,0.008237453265156635,NS,NS,0.980345129532246,0.7130753740314886
ATF6,POU5F1_degradation,0.870714888477544,0.019776171652626143,NS,NS,0.0755353404880841,0.1382811969599327
ATF6,SOX2_degradation,1.23597555756838,0.042880655630012254,Upregulated,Upregulated,2.18467743528801e-5,0.0016099155576458982
ATF6,Serum,0.334204205222628,0.0029484264092465027,NS,NS,0.0602543432567036,0.9620263281339205
ATF6,Forskolin,1.13864819330107,0.02638643389114397,Upregulated,NS,8.67975065446629e-8,0.6538655945188654
ATF6,Heat_shock,-0.554986946246092,-4.006572523561208e-4,Downregulated,NS,0.00206112210525314,0.9962877179760719
ATF6,LIF_removal_1h,-0.523419568717997,-0.003947057196097075,NS,NS,0.758425703361982,0.9968723756132148
ATF6,LIF_removal_3h,0.00859032264789372,0.002068150746795493,NS,NS,0.984763658191153,0.9999437632103492
ATF6,LIF_removal_6h,-0.109879388014416,-9.643000704577312e-4,NS,NS,0.707654528191483,0.9953257592195215
ATF6,mNPC_differentiation,-0.813184163825669,0.034588465175575234,Downregulated,Upregulated,3.5274069404266e-4,0.020609839498698268
ATF6,TFCP2L1_knockdown,0.208362286593154,0.0067605063515573886,NS,NS,0.418148666035748,0.9505540340835739
CEBPA,Chiron_removal,-0.182771238353846,0.0015353353523090522,NS,NS,0.908130000950612,0.9502108164209686
CEBPA,FOXA1_overexpression,-0.782237679464532,0.06032855262966015,NS,NS,0.789720059729306,0.30041556839961325
CEBPA,LIF_removal_24h,0.0405329118211827,0.036224995511623115,NS,NS,0.988405941782305,0.1827890772200648
CEBPA,POU5F1_degradation,-0.332502448380041,0.06181719047209609,NS,Upregulated,0.701636315408747,0.006534816236681349
CEBPA,SOX2_degradation,1.26155198200388,0.07153661662681055,NS,Upregulated,0.102761924022039,0.0011434358248506198
CEBPA,Serum,0.0169771826184666,0.011634559121085818,NS,NS,0.950041600602559,0.9382053105411885
